code,threshold,avg_profit
159150,-1.5557456401050913,0.4509753271590186
159350,-1.496959623146242,0.06008756137661312
159513,-1.4113185188465383,0.26590336274636234
159521,-1.6992291214901467,-0.18568837491857743
159536,-2.099967039232791,0.22033514133119023
159573,-2.51556445268103,0.36440289144619914
159601,-1.3140634304659393,-0.025372555804574256
159602,-1.3033197104231231,-0.0005386344439678791
159603,-1.6447367889605546,0.06658543471075476
159605,-2.9366036121074894,0.33373861749266726
159607,-2.9982293775920144,0.3193770279627774
159611,-1.5019093540252733,0.07483842588523724
159623,-1.492236888336029,-0.10226761082990407
159628,-1.5793663285772435,-0.2496197124651596
159629,-1.406648936190491,-0.06024526072894974
159632,-1.6314725320989876,0.4382977063117089
159633,-1.3295336070950194,-0.1544896021686393
159636,-2.579669352493652,0.6654759511082058
159637,-2.0599140825039646,0.2561218493733998
159638,-1.8967462283996255,0.33679373841387716
159639,-1.3557680518427655,-0.04869371593188621
159649,-0.09756330391403889,0.029047668336618093
159650,-0.09737581687967456,0.04441687926098589
159651,-0.09746365394820433,0.048870301273969595
159682,-1.6257275535441449,-0.011092449159087947
159736,-1.7994565633892678,-0.05731676114164697
159740,-2.651827759917465,0.04559554038345077
159745,-1.8910445251091232,-0.230311686964589
159755,-2.644002298183956,0.014517400667391364
159766,-2.053933983452423,0.1619270886764547
159780,-1.7004184835628375,-0.011189919575615971
159781,-1.6105743127770804,-0.12214365813305232
159783,-1.5723517467871224,-0.12743033163852086
159790,-1.97494321378291,-0.2168887501457875
159792,-3.075988950157727,0.034965361830538215
159801,-2.4513837913829333,0.02713841122582807
159806,-2.8037406129721445,0.21180848705501717
159813,-2.3458037086131975,-0.12687774148552344
159816,-0.0914908285083005,0.0817208993580682
159819,-2.176354414923467,0.11804026281867974
159820,-1.2701932397671476,0.07347541675136908
159825,-1.5273293764366969,-0.0721503401552178
159828,-2.1025399532443356,0.06409254658154998
159837,-2.1003017173724765,-0.34036536474204043
159840,-2.5919456784746835,-0.07195923232530049
159841,-1.6758166843696907,0.17534117674024535
159845,-1.485019713944342,-0.10777065863654432
159857,-2.5583499805283156,-0.06638042931487696
159859,-2.0695373533838635,-0.24710839207491242
159865,-1.7356247654150658,-0.10607389495413776
159867,-1.7508852827937595,-0.21573688616211806
159869,-2.7225752039461835,0.4640552472340065
159870,-1.7512357523742001,-0.1578605040611421
159875,-2.249390332069644,-0.1104959584682714
159883,-1.7505277383086604,-0.26056995259526616
159892,-2.7249170740690607,-0.15596068240533678
159901,-2.0804810361587838,0.12657868086263635
159905,-1.7737782461105243,0.10726937056392176
159908,-2.248009619731861,0.263792324839538
159915,-2.3670518378712084,0.17374574945986906
159919,-1.4748633126092965,0.007184018530067483
159920,-1.3380987888281235,0.13355185372794964
159922,-1.6182689252276425,-0.17200090450934635
159925,-1.463578438494284,-0.1923599148793808
159928,-1.9210270879262525,-0.22766869520907831
159929,-1.8120026606756934,-0.1280698893482141
159934,-0.929700732198172,-0.0016084177573036462
159937,-0.9213729728716841,0.00953268538336823
159938,-1.8456686633766595,-0.2731604087854317
159939,-2.368677639112331,-0.2675560060615547
159940,-1.4848151810479715,-0.0026477144063465595
159941,-1.5457963466834856,0.30319639835743206
159948,-1.9055861606947389,0.22068752935286837
159949,-2.205387550855096,0.1745745462470709
159952,-2.0441701478789653,0.25554461316908794
159959,-1.4129451491075655,-0.12146780392783112
159967,-2.295804796517777,0.0870840161581329
159972,-0.10046199277460757,0.04711252282615498
159977,-2.0273156288485827,0.023522078959777957
159992,-2.2264218090650534,-0.1005369619581816
159993,-1.7687548764421643,0.33744694741089987
159994,-2.3068057751147397,0.18699729359223352
159995,-2.5226390830836887,0.10742492680371003
159996,-1.7587934821871931,0.09230188130013701
159997,-2.197629676753991,0.31177261465900613
159998,-2.247842523048433,-0.02570671755535899
510050,-1.6338972184007259,0.12854308435180214
510100,-1.3188139681577504,0.06390915884502753
510150,-1.9201621283647177,0.26460482254787204
510180,-1.7267648158420323,-0.006174744055588761
510210,-1.5930213290095772,0.2492663647230004
510230,-1.521537130679873,0.1236233907061986
510300,-1.40179108425083,-0.0927775747335783
510310,-1.5048262387655555,0.04583954532440292
510330,-1.3627301002179903,-0.052263166229263705
510350,-1.3553317961249258,-0.042624178891878105
510360,-1.3570933003548105,0.1685427254475348
510380,-1.540121355089528,0.29705647062735685
510500,-1.6573203554758755,-0.03480984326580547
510510,-1.589594154102992,0.002340723610754991
